index,command,raw_response,parsed_json,verifier_result,fail_reason,latency_ms
11,去前台并询问是否可以继续,"{
  ""task"": [
    {
      ""action"": ""ask_user"",
      ""target"": """",
      ""condition"": ""没看到门牌""
    }
  ]
}","{""task"": [{""action"": ""ask_user"", ""target"": """", ""condition"": ""没看到门牌""}]}",0,task[0] target must be non-empty for ask_user,845.0
12,巡视大厅,"{""task"":[{""action"":""navigate_to"",""target"":""hallway"",""condition"":""no_room_signs""}]}","{""task"": [{""action"": ""navigate_to"", ""target"": ""hallway"", ""condition"": ""no_room_signs""}]}",1,,533.3
13,前往实验室，停留三十秒,"{""task"":[{""action"":""navigate_to"",""target"":""lab_door"",""condition"":""30s""},{""action"":""wait"",""target"":""lab_door""}]}","{""task"": [{""action"": ""navigate_to"", ""target"": ""lab_door"", ""condition"": ""30s""}, {""action"": ""wait"", ""target"": ""lab_door""}]}",0,task[1] missing fields: ['condition']; task[1] condition must be a string,682.7
14,去东侧走廊搜索消防出口,"{""task"":[{""action"":""navigate_to"",""target"":""corridor east"",""condition"":""has_fire_exit""}]}","{""task"": [{""action"": ""navigate_to"", ""target"": ""corridor east"", ""condition"": ""has_fire_exit""}]}",1,,517.6
15,先确认当前位置，再去会议室,"{""task"":[{""action"":""navigate_to"",""target"":""conference_room"",""condition"":""not(navigate_to(room_203))""}]}","{""task"": [{""action"": ""navigate_to"", ""target"": ""conference_room"", ""condition"": ""not(navigate_to(room_203))""}]}",1,,621.8
16,到仓库门口并确认仓库标志,"{""task"":[{""action"":""navigate_to"",""target"":""warehouse_door"",""condition"":""seen_warehouse_sign""},{""action"":""verify_target"",""target"":""warehouse""}]}","{""task"": [{""action"": ""navigate_to"", ""target"": ""warehouse_door"", ""condition"": ""seen_warehouse_sign""}, {""action"": ""verify_target"", ""target"": ""warehouse""}]}",0,task[1] missing fields: ['condition']; task[1] condition must be a string,670.7
17,去大厅找人,"{
    ""task"": [
        {
            ""action"": ""ask_user"",
            ""target"": ""hall"",
            ""condition"": """"
        }
    ]
}","{""task"": [{""action"": ""ask_user"", ""target"": ""hall"", ""condition"": """"}]}",1,,730.3
18,如果定位丢失，请询问我下一步怎么办,"{""task"":[{""action"":""ask_user"",""target"":""找不到门牌，问一下应该怎么做？"",""condition"":""无法找到目标位置""}]}","{""task"": [{""action"": ""ask_user"", ""target"": ""找不到门牌，问一下应该怎么做？"", ""condition"": ""无法找到目标位置""}]}",0,task[0] target must be normalized ASCII: '找不到门牌，问一下应该怎么做？',628.4
19,到充电桩后等待一分钟,"{""task"":[{""action"":""wait"",""target"":""after_charging_parking_lot"",""condition"":""true""}]}","{""task"": [{""action"": ""wait"", ""target"": ""after_charging_parking_lot"", ""condition"": ""true""}]}",1,,502.4
20,搜索会议室，找到后确认,"{
  ""task"": [
    {
      ""action"": ""navigate_to"",
      ""target"": ""meeting_room"",
      ""condition"": ""found_meeting_room""
    },
    {
      ""action"": ""verify_target"",
      ""target"": ""meeting_room"",
      ""condition"": ""confirmed_found_meeting_room""
    }
  ]
}","{""task"": [{""action"": ""navigate_to"", ""target"": ""meeting_room"", ""condition"": ""found_meeting_room""}, {""action"": ""verify_target"", ""target"": ""meeting_room"", ""condition"": ""confirmed_found_meeting_room""}]}",1,,1483.9
