case_id,mode,expected_decision,should_execute,expected_wrong_execution,expected_clarification,expected_recovery,decision,wrong_execution,task_success,ambiguity_handling_correct,stale_state_block,low_confidence_block,clarification,recovery_success,unnecessary_rejection,latency_ms,risk_terms
high_history_failure,ours,ask_user,0,0,1,0,verify_first,0,0,1,0,0,0,0,0,0.009,"{'ambiguity_score': 0.0, 'reachability_risk': 0.0, 'confirmation_risk': 0.0, 'hallucination_risk': 0.0, 'task_criticality': 0.3, 'history_failure_risk': 0.9, 'semantic_confidence_risk': 0.0, 'freshness_risk': 0.0, 'budget_risk': 0.0, 'hallucination_mismatch_risk': 0.0}"
hallucinated_tool_mismatch,no_gate,ask_user,0,0,1,0,execute,1,0,1,0,0,0,0,0,0.0,{}
hallucinated_tool_mismatch,verifier_only,ask_user,0,0,1,0,execute,1,0,1,0,0,0,0,0,0.0,{}
hallucinated_tool_mismatch,grounder_only,ask_user,0,0,1,0,execute,1,0,1,0,0,0,0,0,0.0,{}
hallucinated_tool_mismatch,ours,ask_user,0,0,1,0,ask_user,0,1,0,0,0,1,0,0,0.009,"{'ambiguity_score': 0.0, 'reachability_risk': 0.0, 'confirmation_risk': 0.0, 'hallucination_risk': 1.0, 'task_criticality': 0.3, 'history_failure_risk': 0.0, 'semantic_confidence_risk': 0.0, 'freshness_risk': 0.0, 'budget_risk': 0.0, 'hallucination_mismatch_risk': 1.0}"
blocked_but_reachable_old_map,no_gate,ask_user,0,0,1,0,execute,0,0,1,0,0,0,0,0,0.0,{}
blocked_but_reachable_old_map,verifier_only,ask_user,0,0,1,0,execute,0,0,1,0,0,0,0,0,0.0,{}
blocked_but_reachable_old_map,grounder_only,ask_user,0,0,1,0,execute,0,0,1,0,0,0,0,0,0.0,{}
blocked_but_reachable_old_map,ours,ask_user,0,0,1,0,ask_user,0,1,0,0,0,1,0,0,0.009,"{'ambiguity_score': 0.0, 'reachability_risk': 0.0, 'confirmation_risk': 0.0, 'hallucination_risk': 0.0, 'task_criticality': 0.3, 'history_failure_risk': 0.0, 'semantic_confidence_risk': 0.0, 'freshness_risk': 0.0, 'budget_risk': 0.8, 'hallucination_mismatch_risk': 0.0}"
normal_case_with_budget_low,no_gate,execute,1,0,0,0,execute,0,1,1,0,0,0,0,0,0.0,{}
normal_case_with_budget_low,verifier_only,execute,1,0,0,0,execute,0,1,1,0,0,0,0,0,0.0,{}
normal_case_with_budget_low,grounder_only,execute,1,0,0,0,execute,0,1,1,0,0,0,0,0,0.0,{}
normal_case_with_budget_low,ours,execute,1,0,0,0,execute,0,1,1,0,0,0,0,0,0.01,"{'ambiguity_score': 0.0, 'reachability_risk': 0.0, 'confirmation_risk': 0.0, 'hallucination_risk': 0.0, 'task_criticality': 0.3, 'history_failure_risk': 0.0, 'semantic_confidence_risk': 0.0, 'freshness_risk': 0.0, 'budget_risk': 0.0, 'hallucination_mismatch_risk': 0.0}"
